,Epoch,elapsed,train_loss,train_accuracy,valid_loss,valid_accuracy,train_F1_<unk>,train_F1_<pad>,train_F1_the,valid_F1_<unk>,valid_F1_<pad>,valid_F1_the
0,1,00:05:08,0.6562228798866272,0.9136536121368408,0.6259538531303406,0.936333954334259,,0.7554002404212952,0.1456582397222519,,0.9641163349151611,0.5993326306343079
1,2,00:05:11,0.6070528030395508,0.9486586451530457,0.6227871179580688,0.9523482918739319,,0.8748941421508789,0.11342449486255646,,0.9729526042938232,0.6630340814590454
2,3,00:05:11,0.5973000526428223,0.9579380750656128,0.6225310564041138,0.9531756639480591,,0.9573948979377747,0.09737475961446762,,0.9734096527099609,0.6670112013816833
3,4,00:05:11,0.601359486579895,0.9434898495674133,0.6210487484931946,0.95693439245224,,0.9399203062057495,0.09802031517028809,,0.9754382371902466,0.6850701570510864
4,5,00:05:11,0.5859614014625549,0.9687069058418274,0.6290681958198547,0.9091004729270935,,0.9592950940132141,0.10000718384981155,,0.9486225843429565,0.5197235941886902
5,6,00:05:09,0.5800790786743164,0.9733358025550842,0.6225017309188843,0.9647769331932068,,0.9641891121864319,0.10072055459022522,,0.9796794652938843,0.7233637571334839
6,7,00:05:10,0.5798616409301758,0.9751656651496887,0.6204224228858948,0.9599208831787109,,0.9769243597984314,0.09878893196582794,,0.9772977828979492,0.6971989274024963
7,8,00:05:11,0.576524019241333,0.9782134890556335,0.620733380317688,0.9642422199249268,,0.983077347278595,0.09924501925706863,,0.9795697331428528,0.719242513179779
8,9,00:05:14,0.5731308460235596,0.9809814691543579,0.6259211897850037,0.9275330901145935,,0.9831603765487671,0.09922534227371216,,0.9592491984367371,0.572379469871521
9,10,00:05:17,0.572321891784668,0.9817513823509216,0.6366320848464966,0.9752486944198608,,0.9839461445808411,0.09896663576364517,,0.9855623245239258,0.7750017642974854
10,11,00:05:17,0.571176290512085,0.982833981513977,0.6246061325073242,0.947731077671051,,0.9826119542121887,0.09983120858669281,,0.9707600474357605,0.6407034993171692
11,12,00:05:11,0.5702324509620667,0.9840744137763977,0.6275126338005066,0.9729970097541809,,0.9839176535606384,0.10015805810689926,,0.9842885136604309,0.7658157348632812
12,13,00:05:15,0.5709313750267029,0.981323778629303,0.6226470470428467,0.9634956121444702,,0.9835333824157715,0.0989282876253128,,0.9792702794075012,0.7137119770050049
13,14,00:05:21,0.5699118375778198,0.9831399917602539,0.6285243630409241,0.9695054292678833,,0.9871741533279419,0.09882838279008865,,0.9827700257301331,0.7409982085227966
14,15,00:05:34,0.5668299794197083,0.986494779586792,0.626987636089325,0.9635887145996094,,0.9885186553001404,0.10049828141927719,,0.9793412089347839,0.7124338150024414
15,16,00:05:24,0.565709114074707,0.987994909286499,0.624068558216095,0.964636504650116,,0.9890880584716797,0.09950778633356094,,0.9801310896873474,0.7164826989173889
16,17,00:06:03,0.5668622255325317,0.9866480827331543,0.6326981782913208,0.9734101295471191,,0.9878970980644226,0.10001731663942337,,0.9848926067352295,0.7612751722335815
17,18,00:06:09,0.56639564037323,0.9870749115943909,0.6221791505813599,0.9574496150016785,,0.9871482849121094,0.09996899962425232,,0.9761908650398254,0.6830894947052002
